case,variant,repeat,mean_tick_ms,p50_tick_ms,p95_tick_ms,max_tick_ms,mean_call_ms,observed_tps,main_cpu_ms,worker_cpu_ms,gc_millis,gc_collections,checksum,jar_sha256,harness_sha256,evidence_directory
potential_dense,esco_all,1,1.83893702,1.728543,2.383741,9.958516,0.0365334725,20.0,392.771954,0.0,0,0,7886138808790316688,2bca7fbad7670879b55986de52e75f7a763e82e4afc2236f843460f924f4bef8,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,potential_dense/esco_all-1
potential_dense,esco_all,2,1.8742821900000002,1.740701,2.298765,12.65563,0.03655740625,20.0,398.990116,0.0,0,0,7886138808790316688,2bca7fbad7670879b55986de52e75f7a763e82e4afc2236f843460f924f4bef8,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,potential_dense/esco_all-2
potential_dense,leaf,1,2.07288565,1.839146,2.949637,11.51816,0.03577196890625,20.0,413.604141,0.0,0,0,7886138808790316688,bfc308dc53560fe2d0158564b5382c81bc2c22cc1d714a40ee6304d7e40c385e,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,potential_dense/leaf-1
potential_dense,leaf,2,2.016101125,1.832777,3.050365,10.070302,0.03685154953125,20.0,439.859662,0.0,0,0,7886138808790316688,bfc308dc53560fe2d0158564b5382c81bc2c22cc1d714a40ee6304d7e40c385e,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,potential_dense/leaf-2
potential_large,esco4,1,9.45583145,8.462018,12.094113,86.597769,0.25228497734375,19.999074524827197,1348.021099,2160.393896,0,0,-5896094414094803078,2bca7fbad7670879b55986de52e75f7a763e82e4afc2236f843460f924f4bef8,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,potential_large/esco4-1
potential_large,esco4,2,7.95453839,7.685426,9.414731,23.412565,0.22566700796875,20.0,1129.191618,2027.930572,0,0,-5896094414094803078,2bca7fbad7670879b55986de52e75f7a763e82e4afc2236f843460f924f4bef8,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,potential_large/esco4-2
potential_large,esco_all,1,8.976826234999999,8.1993,11.450747,118.219695,0.24014678390625,20.0,1176.662813,2141.18393,0,0,-5896094414094803078,2bca7fbad7670879b55986de52e75f7a763e82e4afc2236f843460f924f4bef8,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,potential_large/esco_all-1
potential_large,esco_all,2,9.07962972,8.590573,12.215987,21.954792,0.25646219046875,20.0,1192.214303,2015.973866,0,0,-5896094414094803078,2bca7fbad7670879b55986de52e75f7a763e82e4afc2236f843460f924f4bef8,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,potential_large/esco_all-2
potential_large,leaf,1,11.367839584999999,9.87776,17.388675,83.611995,0.306927089375,19.976571000091045,2327.359113,0.0,0,0,-5896094414094803078,bfc308dc53560fe2d0158564b5382c81bc2c22cc1d714a40ee6304d7e40c385e,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,potential_large/leaf-1
potential_large,leaf,2,10.53296047,9.755326,12.773553,98.954183,0.2931942878125,19.686897313261934,2285.868386,0.0,0,0,-5896094414094803078,bfc308dc53560fe2d0158564b5382c81bc2c22cc1d714a40ee6304d7e40c385e,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,potential_large/leaf-2
potential_xlarge,esco0,1,43.71792104,42.136717,49.337605,133.929745,1.32865763109375,19.986458770456547,8723.531037,0.0,0,0,2790120445941051663,2bca7fbad7670879b55986de52e75f7a763e82e4afc2236f843460f924f4bef8,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,potential_xlarge/esco0-1
potential_xlarge,esco0,2,47.936028914999994,42.27474,52.241563,800.76911,1.4327284807812501,18.613118862718245,9643.524806,0.0,0,0,2790120445941051663,2bca7fbad7670879b55986de52e75f7a763e82e4afc2236f843460f924f4bef8,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,potential_xlarge/esco0-2
potential_xlarge,esco4,1,27.831316855,24.828577,42.229977,118.497237,0.8185894412499999,19.852749871139522,3887.112276,7918.084268,0,0,2790120445941051663,2bca7fbad7670879b55986de52e75f7a763e82e4afc2236f843460f924f4bef8,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,potential_xlarge/esco4-1
potential_xlarge,esco4,2,25.37854758,23.766118,29.009414,146.492054,0.73663233796875,20.0,3804.719687,7898.082152,0,0,2790120445941051663,2bca7fbad7670879b55986de52e75f7a763e82e4afc2236f843460f924f4bef8,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,potential_xlarge/esco4-2
potential_xlarge,esco_all,1,22.336810970000002,20.807701,26.884563,108.592233,0.6588250512499999,19.955653447352788,2811.474328,8530.197208,0,0,2790120445941051663,2bca7fbad7670879b55986de52e75f7a763e82e4afc2236f843460f924f4bef8,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,potential_xlarge/esco_all-1
potential_xlarge,esco_all,2,31.04702424,26.057875,44.574542,139.225526,0.91494607765625,19.99531149136338,2910.878873,7765.474929,0,0,2790120445941051663,2bca7fbad7670879b55986de52e75f7a763e82e4afc2236f843460f924f4bef8,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,potential_xlarge/esco_all-2
potential_xlarge,leaf,1,36.791863925,35.480416,43.644266,97.790528,1.11502370015625,19.993468917448652,7338.753056,0.0,0,0,2790120445941051663,bfc308dc53560fe2d0158564b5382c81bc2c22cc1d714a40ee6304d7e40c385e,8d260d5efd03a20ec31b4524689d20653dbe20da4979d46563bcaf19f1aad417,potential_xlarge/leaf-1
